Block Assignment
number of blocks
5
number of containers
500
number of rows
10
number of columns
42
#Containers requests information, one line per container
#Type	rj	dj	dest	Block1	Block2	Block3	Block4	Block5
1	9	21	2	10	8	6	2	3
1	25	33	1	6	4	7	6	7
1	8	16	1	4	7	5	2	5
2	5	29	1	6	7	2	4	4
1	17	44	1	4	5	7	2	6
1	19	50	2	7	5	6	6	5
2	19	49	1	8	2	7	4	4
2	4	12	1	1	5	8	1	2
1	19	32	2	8	8	8	7	3
2	3	39	1	10	5	4	2	6
2	11	45	1	4	9	4	9	2
1	10	17	2	10	3	7	1	6
2	0	38	1	7	1	1	7	2
1	10	21	1	9	2	1	2	10
1	4	39	1	2	3	5	5	4
2	15	21	1	9	7	3	3	10
2	24	30	1	5	10	10	4	1
1	15	50	2	8	10	1	5	2
2	1	41	1	3	10	6	6	1
1	5	9	1	8	2	4	8	6
1	9	13	1	9	3	2	2	2
1	11	25	2	8	4	7	9	10
1	23	25	1	10	4	6	4	4
2	22	50	1	8	1	10	5	9
2	13	27	1	2	9	2	2	9
2	4	31	1	8	4	2	2	10
2	13	31	1	9	2	3	9	3
2	12	46	1	9	4	10	1	8
2	24	28	1	7	1	6	7	4
1	24	48	2	6	8	10	2	7
2	19	44	1	10	8	1	3	6
2	13	22	1	8	8	6	1	1
2	5	23	1	4	9	5	5	6
2	12	50	1	10	6	6	1	10
2	23	29	1	6	7	9	3	7
2	4	6	1	9	6	6	9	9
1	8	29	1	2	9	5	5	8
2	4	16	1	9	6	7	8	3
2	3	23	1	5	9	5	8	3
1	9	33	1	1	4	7	8	10
1	25	49	1	6	6	7	1	6
1	18	38	2	9	1	8	4	2
2	23	27	1	1	5	4	6	7
2	20	31	1	8	10	9	10	8
2	19	38	1	3	10	6	6	6
2	2	4	1	5	7	5	7	10
1	15	19	2	10	5	10	3	8
2	6	30	1	8	1	3	9	2
1	9	34	2	3	4	4	4	2
1	14	31	1	5	9	1	1	5
2	12	40	1	2	4	6	3	2
1	10	25	2	7	10	7	6	7
1	21	44	2	8	1	8	10	3
2	20	21	1	1	4	8	5	4
2	9	43	1	9	2	6	1	7
1	1	21	2	6	5	5	4	7
2	22	32	1	4	9	9	8	3
1	0	24	2	3	1	10	5	4
2	6	46	1	1	3	3	10	9
1	9	43	2	9	6	3	6	3
1	21	27	1	10	5	10	6	7
2	17	25	1	7	5	7	2	1
2	8	39	1	6	8	4	9	8
2	2	40	1	5	1	8	5	3
1	8	24	2	6	6	3	7	9
1	7	24	2	5	7	10	7	10
1	6	30	1	5	6	8	4	9
2	25	35	1	6	7	4	5	6
1	23	42	1	7	4	10	9	9
2	21	28	1	4	9	7	4	7
2	22	41	1	9	7	5	10	8
1	13	38	1	1	9	4	4	5
1	9	35	2	10	7	7	8	9
2	3	10	1	8	6	9	3	8
2	16	26	1	8	10	4	8	1
2	17	25	1	4	4	10	7	10
1	18	36	1	10	1	2	3	5
1	20	45	1	9	4	6	4	1
2	5	25	1	8	1	4	10	5
1	21	33	2	9	9	4	3	7
1	24	49	1	10	7	3	5	6
1	2	36	1	4	7	8	5	5
1	9	42	1	10	3	8	4	8
2	0	16	1	5	2	1	7	10
2	6	48	1	1	4	8	2	5
1	12	13	1	9	5	7	8	1
1	0	30	2	6	2	5	10	5
2	6	24	1	8	2	4	5	1
2	6	12	1	8	7	6	1	5
2	8	31	1	2	10	10	5	1
1	10	47	1	10	6	9	6	7
2	5	36	1	8	8	10	4	4
2	23	32	1	9	8	1	1	6
2	10	40	1	7	8	5	9	1
1	5	42	1	7	1	5	10	1
1	20	36	2	1	5	10	10	9
2	0	9	1	8	5	4	9	10
2	14	33	1	8	4	10	2	7
1	7	16	1	1	2	1	9	3
1	1	4	2	7	5	9	4	6
2	18	45	1	4	10	10	7	6
1	22	23	1	7	3	9	10	9
2	23	41	1	1	2	10	1	9
1	12	41	1	8	3	9	6	5
2	7	41	1	10	10	4	5	9
2	10	49	1	4	2	4	3	6
2	8	34	1	1	3	2	2	6
2	23	31	1	2	2	8	9	5
1	18	50	2	4	10	8	6	4
1	25	31	2	2	10	3	9	6
1	7	21	2	1	5	2	10	4
1	18	30	2	5	6	2	4	2
1	12	15	2	7	2	1	4	8
1	19	50	2	2	1	4	6	4
2	1	36	1	7	10	7	5	2
1	24	34	1	4	5	10	7	6
2	18	33	1	7	2	10	1	9
1	1	37	1	3	9	3	4	3
1	6	45	1	7	1	1	1	8
1	21	23	2	8	7	9	2	6
1	25	28	2	7	1	6	8	2
1	16	31	2	6	4	3	2	9
2	22	25	1	8	7	10	2	5
1	4	28	1	5	1	9	9	1
2	13	23	1	10	1	1	10	9
2	17	19	1	9	6	8	8	4
1	8	44	2	10	3	3	3	6
2	8	23	1	8	10	6	6	10
1	9	12	1	2	5	5	7	8
1	19	50	2	4	1	2	5	8
1	3	43	1	7	7	8	9	2
1	15	16	2	4	2	1	10	7
1	25	33	2	7	10	2	2	5
2	10	22	1	4	1	8	8	7
1	23	26	1	8	6	8	6	7
1	20	36	1	1	2	9	10	1
2	24	44	1	1	7	10	10	7
1	20	42	2	10	5	8	8	7
1	12	28	2	3	1	5	5	5
2	8	18	1	5	6	5	2	3
2	23	33	1	2	5	5	6	9
2	24	47	1	2	1	7	8	2
1	10	19	2	9	7	5	3	6
1	23	43	1	10	9	4	1	8
2	20	36	1	5	5	9	9	5
1	8	44	2	7	10	2	2	2
1	20	49	1	7	1	9	9	4
1	21	24	1	6	8	6	7	2
1	23	37	1	1	6	2	1	10
1	8	29	2	8	7	2	3	1
1	8	19	1	8	10	1	1	6
2	20	29	1	8	5	5	10	7
2	1	24	1	3	4	6	2	7
2	5	32	1	2	9	9	3	10
1	4	34	2	9	8	9	4	10
1	17	48	1	8	4	5	4	2
1	13	48	2	1	9	9	6	5
2	8	33	1	2	10	6	8	3
2	16	19	1	4	7	3	8	3
2	3	45	1	1	5	1	8	8
2	7	49	1	8	3	7	6	1
2	8	32	1	1	5	9	6	7
2	12	20	1	9	8	10	9	9
1	16	40	1	6	9	5	10	8
1	23	32	2	5	7	7	9	2
2	3	14	1	6	10	6	8	6
2	1	18	1	4	9	6	4	8
1	12	49	2	1	1	6	3	2
1	18	19	2	2	1	1	10	7
1	7	12	2	1	10	5	1	6
1	5	45	2	2	3	3	10	7
1	25	49	2	7	8	10	4	2
1	8	20	2	7	6	4	4	6
1	20	42	1	10	6	4	8	4
1	16	24	1	5	5	6	8	1
2	24	36	1	4	2	7	2	10
1	8	17	2	7	1	1	5	10
2	24	26	1	9	9	7	2	5
2	10	37	1	4	5	5	10	4
2	5	14	1	7	10	4	2	2
1	7	13	1	1	5	4	9	4
2	19	28	1	3	8	8	4	10
2	4	36	1	7	8	7	4	6
2	15	27	1	4	5	2	5	3
2	11	18	1	4	2	8	7	4
1	14	18	1	10	4	5	1	8
2	22	25	1	4	1	6	5	2
1	0	14	1	9	1	1	4	8
2	10	39	1	8	1	3	4	3
2	3	23	1	3	1	7	8	1
2	19	28	1	8	2	8	7	2
1	13	15	2	5	1	8	9	6
2	18	40	1	5	8	7	9	4
2	1	11	1	9	1	1	10	9
1	6	30	2	7	3	5	9	1
2	9	24	1	1	7	1	10	1
1	1	50	2	4	8	6	8	10
1	16	41	2	4	7	10	8	6
2	7	19	1	4	1	2	7	7
1	7	41	2	8	4	1	8	10
2	1	8	1	7	6	10	4	6
1	3	13	2	6	1	10	2	1
1	10	16	1	6	5	1	4	10
2	3	41	1	4	4	3	1	10
1	0	5	2	10	1	6	7	9
2	0	23	1	7	4	3	4	8
1	12	28	2	4	2	7	4	5
1	4	11	1	8	1	6	5	5
1	9	29	2	6	10	4	4	1
1	4	50	2	7	7	10	10	10
1	22	49	2	10	6	1	1	5
1	24	49	1	8	5	7	1	8
1	21	31	2	10	10	6	2	2
1	21	46	1	9	3	5	4	1
2	9	49	1	6	2	6	9	9
1	18	43	2	9	4	6	3	5
2	9	27	1	9	6	10	3	7
1	15	46	2	5	10	10	7	5
2	17	49	1	9	3	4	7	9
1	5	18	1	7	2	10	9	7
2	0	14	1	8	7	8	6	7
1	13	43	2	2	10	10	5	9
1	0	18	1	10	1	3	7	4
1	10	49	2	9	3	9	5	3
1	0	18	1	10	2	7	5	9
1	8	22	1	10	6	5	5	3
1	18	28	1	2	10	7	3	1
2	9	22	1	5	1	6	2	2
1	20	24	1	6	1	6	5	7
1	3	24	2	6	3	9	7	1
2	23	30	1	3	6	10	6	1
1	19	38	1	7	2	2	7	7
1	11	50	2	7	1	1	1	8
2	3	16	1	4	1	9	5	3
1	20	25	1	4	3	3	1	4
2	16	43	1	9	3	7	1	7
2	12	16	1	5	8	1	10	4
2	4	11	1	3	7	2	3	6
1	25	50	2	1	10	9	4	10
2	24	31	1	4	8	10	6	4
1	2	44	2	7	7	2	10	1
2	5	27	1	3	10	4	7	2
2	21	41	1	1	10	4	4	6
1	16	29	1	3	9	10	6	2
1	15	32	2	4	1	10	1	10
2	23	30	1	8	7	10	7	5
2	19	39	1	4	6	1	6	1
1	18	27	2	10	3	5	5	8
2	3	32	1	8	2	1	3	4
2	3	15	1	9	3	4	5	5
1	11	32	2	7	9	1	3	4
2	9	48	1	9	1	3	1	7
2	5	30	1	6	6	4	3	8
2	0	22	1	6	1	9	6	9
2	2	43	1	7	2	9	9	1
1	4	41	1	5	8	3	5	1
1	24	25	2	3	9	5	8	1
2	18	50	1	5	8	2	8	10
1	1	42	1	6	5	6	10	4
1	21	45	2	9	7	10	4	3
2	24	49	1	1	3	8	6	9
2	7	24	1	4	2	1	8	10
2	18	38	1	9	10	7	3	2
1	8	49	2	8	5	5	4	6
2	21	27	1	4	7	3	7	5
2	19	29	1	5	10	5	9	4
2	20	36	1	4	10	2	5	4
2	25	33	1	10	5	1	5	5
1	3	47	1	3	5	8	5	10
1	24	32	2	10	3	3	9	8
1	15	35	2	9	9	7	5	10
1	20	21	1	4	6	10	4	9
2	0	50	1	9	5	10	4	6
1	19	31	2	1	8	6	9	4
1	13	17	2	9	6	8	1	7
2	17	33	1	10	9	9	4	5
2	13	14	1	6	4	10	7	10
2	2	33	1	2	2	1	6	5
2	4	24	1	6	4	10	3	2
1	8	17	1	1	6	7	6	8
2	13	29	1	7	5	6	8	5
1	25	37	1	6	10	4	5	3
1	7	38	2	1	6	1	1	8
1	8	11	2	2	10	1	3	1
1	16	22	2	10	1	5	1	8
2	1	26	1	1	6	6	7	4
2	6	8	1	8	7	10	10	1
2	14	18	1	5	8	6	5	10
1	22	46	1	10	4	4	1	3
2	16	22	1	9	6	4	1	4
2	24	40	1	7	5	7	1	10
1	2	34	2	7	2	7	9	10
2	21	34	1	7	9	6	6	4
1	25	43	1	10	8	8	8	8
2	25	37	1	8	8	4	6	3
1	18	50	1	7	3	4	4	4
2	13	35	1	5	6	9	3	8
2	21	30	1	6	10	2	8	10
2	19	43	1	6	1	3	2	5
2	11	34	1	6	9	9	7	7
1	25	49	1	10	1	10	4	2
1	10	31	1	6	4	6	1	8
1	14	46	2	6	7	2	4	2
2	23	28	1	7	6	5	3	2
2	20	31	1	4	10	6	10	1
1	3	8	2	7	6	2	3	3
1	2	27	1	1	1	8	8	3
2	9	47	1	7	7	5	2	6
2	1	5	1	1	3	9	3	4
2	0	14	1	8	7	1	7	8
2	18	47	1	5	8	9	10	6
2	23	34	1	4	7	6	8	1
1	4	30	2	5	2	9	9	7
2	8	14	1	8	2	6	7	10
2	10	45	1	9	6	5	10	6
2	22	30	1	6	10	4	4	6
2	17	44	1	7	2	1	5	8
2	25	28	1	2	3	5	5	4
1	15	31	2	1	6	2	2	10
2	20	22	1	3	7	3	10	9
1	24	26	1	9	10	9	7	1
2	12	35	1	1	4	4	5	3
2	1	24	1	9	5	3	10	7
1	20	28	2	4	1	8	10	3
2	21	31	1	2	4	9	2	4
1	1	14	2	4	8	2	9	4
1	20	34	2	1	9	3	2	2
1	19	25	1	6	10	2	4	5
2	4	48	1	6	4	6	9	10
2	1	27	1	7	10	5	4	2
1	2	11	2	2	6	8	8	8
2	19	24	1	1	6	8	6	1
1	3	8	2	5	2	6	3	1
2	0	17	1	10	4	6	2	8
2	13	17	1	8	4	10	7	3
1	10	43	1	8	6	8	4	7
2	18	24	1	10	4	8	9	5
2	6	25	1	6	2	3	2	4
1	17	37	1	9	8	6	5	9
1	20	46	2	8	9	9	1	5
2	6	25	1	10	6	7	3	3
1	17	23	2	3	4	5	7	5
1	2	34	1	7	9	7	2	6
2	1	49	1	5	9	9	1	8
1	23	35	2	3	9	7	5	2
1	6	14	1	10	4	7	8	10
2	14	16	1	2	9	2	6	5
2	7	30	1	5	7	10	9	10
1	18	32	2	4	3	10	7	3
2	23	47	1	3	10	10	7	9
2	10	19	1	9	6	1	5	1
2	2	40	1	1	1	2	4	5
2	0	34	1	3	5	7	9	1
2	17	26	1	4	10	1	1	9
1	10	46	1	4	4	4	5	4
1	6	46	1	9	10	8	6	1
2	11	20	1	10	2	5	1	2
1	6	31	1	1	2	4	9	3
1	5	20	2	7	3	5	7	1
1	4	19	2	6	4	3	8	6
1	20	31	1	4	10	6	4	3
2	14	15	1	5	8	6	7	7
2	0	39	1	6	6	8	7	3
2	21	44	1	10	9	2	9	1
1	5	25	2	4	1	6	8	10
1	0	15	2	10	1	1	6	1
2	16	45	1	2	2	10	7	10
2	10	28	1	7	1	4	9	8
1	0	44	1	10	4	5	4	4
2	15	29	1	7	1	3	5	2
2	14	36	1	10	1	5	3	4
2	1	20	1	1	8	1	4	7
1	8	18	1	7	6	3	9	3
1	14	31	2	4	1	10	8	1
1	8	32	1	10	10	8	6	10
2	23	41	1	4	1	6	3	2
1	14	20	2	9	9	5	10	2
1	10	34	1	1	7	2	8	8
1	16	39	1	8	7	10	7	9
2	18	48	1	6	9	8	6	1
2	20	43	1	10	2	1	9	10
1	19	48	2	3	3	7	1	5
1	0	9	2	1	2	1	5	6
1	22	30	1	2	4	7	6	2
2	22	26	1	9	2	5	3	3
2	16	48	1	5	3	8	10	4
2	14	36	1	1	9	7	5	7
1	14	43	2	4	1	7	6	10
2	3	7	1	3	2	3	9	4
1	10	17	2	6	6	4	10	5
1	5	24	1	6	4	3	3	6
1	24	36	2	6	8	9	9	2
2	17	22	1	2	7	4	5	2
2	16	32	1	7	6	4	7	3
2	4	21	1	7	9	4	1	2
1	6	10	1	7	9	10	5	10
1	20	45	2	9	8	7	7	8
1	23	37	2	7	5	7	9	1
2	7	24	1	3	5	9	4	9
1	19	42	2	8	9	1	1	1
1	3	14	2	4	7	1	10	9
1	15	24	1	7	4	1	10	9
2	14	50	1	4	4	9	10	3
1	9	10	1	6	7	9	1	1
1	24	47	2	9	9	2	6	1
2	15	33	1	9	6	8	7	6
1	25	47	2	9	5	1	7	9
2	19	26	1	10	8	10	10	7
2	4	16	1	6	3	2	2	2
1	5	38	1	2	10	1	5	3
1	16	42	2	9	5	9	1	10
#Blocks Information
#Block	1
Free Sea	299
Free Land	314
#Containers leaving the block (sea part)	1
#Containers leaving the block (land part)	4
#Containers leaving the block, the first	1	are from Sea, the rest from Land
dj
16
49
49
9
45
#Block	2
Free Sea	299
Free Land	221
#Containers leaving the block (sea part)	1
#Containers leaving the block (land part)	4
#Containers leaving the block, the first	1	are from Sea, the rest from Land
dj
15
17
28
38
5
#Block	3
Free Sea	214
Free Land	307
#Containers leaving the block (sea part)	3
#Containers leaving the block (land part)	4
#Containers leaving the block, the first	3	are from Sea, the rest from Land
dj
14
46
6
17
15
22
5
#Block	4
Free Sea	285
Free Land	349
#Containers leaving the block (sea part)	1
#Containers leaving the block (land part)	0
#Containers leaving the block, the first	1	are from Sea, the rest from Land
dj
46
#Block	5
Free Sea	314
Free Land	314
#Containers leaving the block (sea part)	2
#Containers leaving the block (land part)	4
#Containers leaving the block, the first	2	are from Sea, the rest from Land
dj
35
16
46
25
14
12
